,generation,best_fitness,min_fitness,average_fitness,std_fitness,test_fitness,experiment_id,repetition,config,count_better,count_worse
56,6,0.10100018099116084,2.5383490428103392e-05,0.024110788271108716,0.025445728481408893,9.063200804621742e-16,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
57,7,0.10100018099116084,7.149402643472982e-05,0.029930193306402977,0.02642811056120045,9.063200804621742e-16,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
58,8,0.1102359895364377,1.356957979045803e-05,0.02902664602408175,0.029165837936182118,0.005476478166194758,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
59,9,0.1102359895364377,1.356957979045803e-05,0.027649687825881383,0.028081617210558307,0.005476478166194758,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
60,10,0.16837957998114989,2.723947181737696e-06,0.03117678279669262,0.033101004050516664,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
61,11,0.16837957998114989,7.256214972115208e-05,0.0308378137539755,0.03163252923302349,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
62,12,0.16837957998114989,4.09297286671355e-05,0.03300961894522687,0.03652891501297402,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
63,13,0.16837957998114989,7.827902127537426e-05,0.03745738507723968,0.03630413911199383,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
64,14,0.16837957998114989,2.723947181737696e-06,0.03776750713406238,0.03692988757389991,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
65,15,0.16837957998114989,5.514778287443675e-06,0.03726967795109895,0.035036132598494384,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
66,16,0.16837957998114989,0.00031796836904549107,0.0404019079475731,0.035338064313134666,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
67,17,0.16837957998114989,5.2901385276787945e-05,0.0469557438008809,0.03690359123843315,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
68,18,0.16837957998114989,6.232449021384381e-16,0.046223971524639286,0.04032895900285094,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
69,19,0.16837957998114989,3.2536703896502556e-05,0.04408250907143385,0.036914394138230576,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
